               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,             0.02398,           0.0066383,           0.0033871,             0.88507,             0.94803,             0.94759,             0.81761,            0.014896,           0.0031183,           0.0024322,           0.0072478,           0.0072478,           0.0072478
                 141,            0.023796,           0.0072569,           0.0032906,             0.87655,             0.96174,             0.94457,             0.79942,             0.01352,           0.0030368,           0.0023959,            0.007228,            0.007228,            0.007228
                 142,            0.023444,           0.0068229,           0.0032655,             0.86791,                0.97,             0.94572,             0.81307,            0.013581,           0.0030496,           0.0023547,           0.0072082,           0.0072082,           0.0072082
                 143,            0.021625,           0.0069358,            0.003161,             0.87853,                0.97,             0.95099,             0.81801,             0.01475,            0.003063,           0.0022596,           0.0071884,           0.0071884,           0.0071884
                 144,            0.024731,           0.0078533,           0.0031384,             0.88508,              0.9684,             0.95985,             0.80406,            0.014427,           0.0029866,           0.0022034,           0.0071686,           0.0071686,           0.0071686
                 145,            0.021894,           0.0070859,           0.0026793,             0.88618,                0.97,             0.96867,              0.8298,            0.013572,            0.002961,            0.002229,           0.0071488,           0.0071488,           0.0071488
                 146,            0.022322,           0.0065042,           0.0031538,             0.88812,             0.96479,             0.96661,             0.83654,            0.014849,           0.0029435,           0.0022679,            0.007129,            0.007129,            0.007129
                 147,            0.022197,            0.007145,           0.0030377,             0.88234,             0.96762,             0.96279,             0.84503,            0.012684,           0.0029678,           0.0022832,           0.0071092,           0.0071092,           0.0071092
                 148,            0.022225,              0.0065,           0.0032282,             0.87872,                0.96,              0.9587,             0.80982,             0.01392,           0.0030004,           0.0022977,           0.0070894,           0.0070894,           0.0070894
                 149,             0.02193,           0.0076822,           0.0033586,             0.88546,             0.96883,             0.95598,             0.81273,            0.012216,           0.0029104,           0.0023559,           0.0070696,           0.0070696,           0.0070696
                 150,            0.022716,           0.0066438,           0.0031142,             0.87523,             0.96165,             0.95662,              0.8037,            0.014266,            0.002941,           0.0023802,           0.0070498,           0.0070498,           0.0070498
                 151,            0.021959,           0.0063151,           0.0031432,             0.80999,             0.91612,             0.90477,             0.73962,            0.014698,            0.003147,           0.0023491,             0.00703,             0.00703,             0.00703
